"* Required Fields","* Required Fields"
"-- No Status Change --","-- No Status Change --"
"1.-{n-1}. monthly rate each","1.-{n-1}. monthly rate each"
"3D Secure","3D Secure con éxito"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure fallado"
"3D Secure sucess","3D Secure con éxito"
"@label (Live)","@label (Live)"
"@label (Test)","@label (Test)"
"A authorized transaction cannot be authorized again.","Una transacción autorisada no puede ser autorisada otra vez"
"A authorized transaction cannot be marked as failed.","Una transacción autorizada no puede ser marcado como fallada"
"A cancelled transaction cannot be authorized.","Una transacción cancelada no puede ser autorizada"
"A cancelled transaction cannot be cancelled again.","Una transacción cancelada no puede ser cancelada otra vez"
"A cancelled transaction cannot be captured.","Una transacción cancelada no puede ser contabilizada"
"A cancelled transaction cannot be marked as failed.","Una transacción cancelada no puede ser marcado como fallada"
"A cancelled transaction cannot be refunded.","Una transacción cancelada no puede ser reembolsada"
"A captured transaction cannot be authorized.","Una transacción contabilizada no puede ser autorizada"
"A captured transaction cannot be cancelled.","Una transacción contabilizada no puede ser cancelada"
"A captured transaction cannot be marked as failed.","Una transacción contabilizada no puede ser marcado como fallada"
"A failed authorization cannot be authorized.","Una autorización fallada no puede ser autorizada"
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Algunos métodos de pago no están permitidos para ciertos países. Usted puede decidir en qué momento la verificación de disponibilidad se va a realizar. Recomendamos 'Durante la autorización'."
"A refund was added over !amount.","Un reembolso se añadió durante  !amount."
"A technical error occured.","A technical error occured."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transacción puede ser incierto, cuando no se garantiza el pago. Por ejemplo en el caso de la tarjeta de crédito no participa en el procedimiento de 3D​​."
"API Private Key (Live)","API Private Key (Live)"
"API Private Key (Test)","API Private Key (Test)"
"About","About"
"Account Holder","Account Holder"
"Account Holder Name","Titular de la cuenta Nombre"
"Account owner name.","Nombre del titular"
"Action","Acción"
"Actions","Actions"
"Activate","Activate"
"Active","Active"
"Additional Information","Additional Information"
"Address equality","Address equality"
"Adjust Qty","Ajuste de cantidad"
"Adjustment Discount","Adjustment Discount"
"Adjustment Fee","Adjustment Fee"
"After payment selection","Después de elegir la forma de pago"
"Ajax authorization not supported.","Autorización Ajax no es compatibl"
"Alias","Alias"
"Alias For Display","Alias ​​para la exhibición"
"All Customers","All Customers"
"Allowed Currencies","Allowed Currencies"
"Allowed currencies for this payment method","Moneda permitida para esta forma de pago"
"Already registered?","Already registered?"
