"Activate on Canonical URL Only","Activate on Canonical URL Only"
"Add Alternate","Add Alternate"
"Alternate Hreflang","Alternate Hreflang"
"Branding","Branding"
"Configuration","Configuration"
"Current product url is not the canonical url!","Current Product URL is not the Canonical URL!"
"Enable Category HrefLang Tag","Enable Category HrefLang Tag"
"Enable Debug","Enable Debug"
"Enable Homepage HrefLang Tag","Enable Homepage HrefLang Tag"
"Enable Product HrefLang Tag","Enable Product HrefLang Tag"
"Enabled","Enabled"
"General","General"
"Group","Group"
"Language Code","Language Code"
"It seems that the current Category URLS has filters, the Alternate Hreflang Tags can not be placed on filtered URLS.","It Seems that the current Category URLS has filters, Alternate Hreflang Tags can not be placed on filtered URLS."
"Magmodules","Magmodules"
"Set up your store front with the applicable language code and set them in the right group. More information about the setup and the way to group Storeviews can be found <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/activate-alternatehref-magento2/#setting"" target=""_blank"">here</a>.","Set up your store front with the applicable language code and set them in the right group. More information about the setup and the way to group Storeviews can be found <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/activate-alternatehref-magento2/#setting"" target=""_blank"">here</a>."
"Storefront","Storefront"
"Targeting Settings","Targeting Settings"
"To debug simple add <b>?show-alternate=1</b> to the URL. Read <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/test-href-lang2/"" target=""_blank"">this</a> post when the HrefLang tags are not visible.","To debug simple add <b>?show-alternate=1</b> to the URL. Read <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/test-href-lang2/"" target=""_blank"">this</a> post when the HrefLang tags are not visible."
"The HrefLang tag also can be used along with Canonical annotations. As the HrefLang tag needs a self-referential canonical URL we recommend to only show the Alternate HrefLang Tags on Canonical URLS.","The HrefLang tag also can be used along with Canonical annotations. As the HrefLang tag needs a self-referential canonical URL we recommend to only show the Alternate HrefLang Tags on Canonical URLS."
"Version","Version"
