"Activate HrefLang Tag on Canonical URL Only","Activeer HrefLang Tag enkel op de Canonical URL"
"Add HrefLang tag","HREF Lang Tag toevoegen"
"Alternate Hreflang","Alternate Hreflang"
"Branding","Branding"
"Configuration","Configuratie"
"Current product url is not the canonical url!","Huidige product URL is niet de Canonical URL!"
"Enable Category HrefLang Tag","Activeer Categorie HrefLang Tag"
"Enable Debug","Activeer Debug"
"Enable Homepage HrefLang Tag","Activeer Homepage HrefLang Tag"
"Enable Product HrefLang Tag","Activeer Product HrefLang Tag"
"Enabled","Ingeschakeld"
"General","Algemeen"
"Group","Groep"
"Language Code","Taal Code"
"It seems that the current Category URLS has filters, the Alternate Hreflang Tags can not be placed on filtered URLS.","Het lijkt erop dat deze categorie filters in de URL bevat, de Hreflang Tags kunnen niet geplaatst worden op URLs met filters."
"Magmodules","Magmodules"
"Set up your store front with the applicable language code and set them in the right group. More information about the setup and the way to group Storeviews can be found <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/activate-alternatehref-magento2/#setting"" target=""_blank"">here</a>.","Configureer de winkelzichten met de bijhorende taalcodes en koppel deze met elkaar door ze te groeperen. Meer informatie over de configuratie en de beste manier om winkelzichten te groeperen kan <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/activate-alternatehref-magento2/#setting"" target=""_blank"">hier</a> worden gevonden."
"Storefront","Winkelzicht"
"Targeting Settings","Targeting Instellingen"
"The HrefLang tag also can be used along with Canonical annotations. As the HrefLang tag needs a self-referential canonical URL we recommend to only show the Alternate HrefLang Tags on Canonical URLS.","De hreflang tag kan ook worden gebruikt samen met Canonical annotaties. Gezien de hreflang tag voorzien moet zijn van een self-referentiële canonieke URL raden we aan om de Alternate hreflang Tags alleen op de Canonical URL's te laten zien."
"To debug simple add <b>?show-alternate=1</b> to the URL. Read <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/test-href-lang2/"" target=""_blank"">this</a> post when the HrefLang tags are not visible.","Om te debuggen, voeg <b>?show-alternate=1</b> toe aan de URL. Lees <a href=""https://www.magmodules.eu/help/alternate-hreflang-magento2/test-href-lang2/"" target=""_blank"">dit</a> artikel wanneer de HrefLang Tags niet zichtbaar zijn."
"Version","Versie"
